city,datetime,event,severity,forecast_value,threshold
Ranchi,2026-09-26 04:00:00,High Wind,Moderate,27.65,25
Varanasi,2026-09-26 04:00:00,High Wind,Moderate,31.62,25
Jabalpur,2026-09-26 05:00:00,Heavy Rain,Moderate,4.4,4
Kanpur,2026-09-26 05:00:00,Heavy Rain,High,9.62,4
Lucknow,2026-09-26 05:00:00,Heavy Rain,Moderate,4.35,4
Lucknow,2026-09-26 05:00:00,High Wind,Moderate,27.82,25
Patna,2026-09-26 05:00:00,High Wind,Moderate,30.47,25
Raipur,2026-09-26 05:00:00,High Wind,Moderate,25.26,25
Ranchi,2026-09-26 05:00:00,High Wind,Moderate,27.85,25
Varanasi,2026-09-26 05:00:00,High Wind,Moderate,31.68,25
Kanpur,2026-09-26 06:00:00,Heavy Rain,High,13.31,4
Lucknow,2026-09-26 06:00:00,Heavy Rain,Moderate,5.06,4
Lucknow,2026-09-26 06:00:00,High Wind,Moderate,31.52,25
Patna,2026-09-26 06:00:00,High Wind,High,32.38,25
Ranchi,2026-09-26 06:00:00,High Wind,Moderate,28.2,25
Varanasi,2026-09-26 06:00:00,High Wind,High,33.81,25
Kanpur,2026-09-26 07:00:00,Heavy Rain,High,9.82,4
Lucknow,2026-09-26 07:00:00,Heavy Rain,Moderate,5.04,4
Lucknow,2026-09-26 07:00:00,High Wind,Moderate,31.87,25
Patna,2026-09-26 07:00:00,High Wind,High,32.9,25
Ranchi,2026-09-26 07:00:00,High Wind,Moderate,27.82,25
Varanasi,2026-09-26 07:00:00,High Wind,High,33.49,25
Kanpur,2026-09-26 08:00:00,Heavy Rain,Moderate,7.3,4
Lucknow,2026-09-26 08:00:00,High Wind,Moderate,31.23,25
Patna,2026-09-26 08:00:00,High Wind,High,32.8,25
Ranchi,2026-09-26 08:00:00,High Wind,Moderate,26.49,25
Varanasi,2026-09-26 08:00:00,High Wind,High,34.26,25
Lucknow,2026-09-26 09:00:00,Heavy Rain,Moderate,4.99,4
Lucknow,2026-09-26 09:00:00,High Wind,High,32.22,25
Patna,2026-09-26 09:00:00,High Wind,High,34.17,25
Raipur,2026-09-26 09:00:00,High Wind,Moderate,25.39,25
Ranchi,2026-09-26 09:00:00,High Wind,Moderate,26.72,25
Varanasi,2026-09-26 09:00:00,High Wind,High,34.38,25
Indore,2026-09-26 10:00:00,High Wind,Moderate,25.19,25
Lucknow,2026-09-26 10:00:00,Heavy Rain,Moderate,5.12,4
Lucknow,2026-09-26 10:00:00,High Wind,Moderate,31.11,25
Nashik,2026-09-26 10:00:00,High Wind,Moderate,25.59,25
Patna,2026-09-26 10:00:00,High Wind,High,33.49,25
Varanasi,2026-09-26 10:00:00,High Wind,High,35.2,25
Indore,2026-09-26 11:00:00,High Wind,Moderate,25.69,25
Lucknow,2026-09-26 11:00:00,High Wind,High,32.2,25
Nashik,2026-09-26 11:00:00,High Wind,Moderate,26.05,25
Patna,2026-09-26 11:00:00,High Wind,High,34.08,25
Varanasi,2026-09-26 11:00:00,High Wind,High,34.34,25
Chennai,2026-09-26 12:00:00,High Temperature,Moderate,35.63,35
Indore,2026-09-26 12:00:00,High Wind,Moderate,26.32,25
Jodhpur,2026-09-26 12:00:00,High Temperature,Moderate,35.71,35
Lucknow,2026-09-26 12:00:00,High Wind,Moderate,30.29,25
Nashik,2026-09-26 12:00:00,High Wind,Moderate,26.22,25
Patna,2026-09-26 12:00:00,High Wind,Moderate,29.04,25
Varanasi,2026-09-26 12:00:00,High Wind,Moderate,31.52,25
Chennai,2026-09-26 13:00:00,High Temperature,Moderate,36.16,35
Indore,2026-09-26 13:00:00,High Wind,Moderate,27.36,25
Jodhpur,2026-09-26 13:00:00,High Temperature,Moderate,36.81,35
Lucknow,2026-09-26 13:00:00,High Wind,Moderate,29.17,25
Madurai,2026-09-26 13:00:00,High Temperature,Moderate,35.79,35
Nashik,2026-09-26 13:00:00,High Wind,Moderate,25.76,25
Patna,2026-09-26 13:00:00,High Wind,Moderate,26.83,25
Varanasi,2026-09-26 13:00:00,High Wind,Moderate,31.26,25
Chennai,2026-09-26 14:00:00,High Temperature,Moderate,35.75,35
Indore,2026-09-26 14:00:00,High Wind,Moderate,27.32,25
Jodhpur,2026-09-26 14:00:00,High Temperature,High,37.43,35
Lucknow,2026-09-26 14:00:00,High Wind,Moderate,27.47,25
Madurai,2026-09-26 14:00:00,High Temperature,Moderate,36.15,35
Nashik,2026-09-26 14:00:00,High Wind,Moderate,25.49,25
Patna,2026-09-26 14:00:00,High Wind,Moderate,27.74,25
Varanasi,2026-09-26 14:00:00,High Wind,Moderate,30.41,25
Indore,2026-09-26 15:00:00,High Wind,Moderate,26.38,25
Jodhpur,2026-09-26 15:00:00,High Temperature,High,37.58,35
Lucknow,2026-09-26 15:00:00,High Wind,Moderate,26.96,25
Madurai,2026-09-26 15:00:00,High Temperature,Moderate,36.08,35
Surat,2026-09-26 15:00:00,High Wind,Moderate,26.09,25
Varanasi,2026-09-26 15:00:00,High Wind,Moderate,28.22,25
Indore,2026-09-26 16:00:00,High Wind,Moderate,25.01,25
Jodhpur,2026-09-26 16:00:00,High Temperature,High,37.38,35
Lucknow,2026-09-26 16:00:00,High Wind,Moderate,27.21,25
Madurai,2026-09-26 16:00:00,High Temperature,Moderate,35.49,35
Surat,2026-09-26 16:00:00,High Wind,Moderate,26.51,25
Varanasi,2026-09-26 16:00:00,High Wind,Moderate,26.34,25
Jodhpur,2026-09-26 17:00:00,High Temperature,Moderate,36.4,35
Lucknow,2026-09-26 17:00:00,High Wind,Moderate,26.45,25
Surat,2026-09-26 17:00:00,High Wind,Moderate,26.85,25
Surat,2026-09-26 18:00:00,High Wind,Moderate,26.54,25
Surat,2026-09-26 19:00:00,High Wind,Moderate,25.88,25
Surat,2026-09-26 20:00:00,High Wind,Moderate,25.59,25
Chennai,2026-09-27 11:00:00,High Temperature,Moderate,35.29,35
Chennai,2026-09-27 12:00:00,High Temperature,Moderate,35.73,35
Madurai,2026-09-27 12:00:00,High Temperature,Moderate,35.77,35
Chennai,2026-09-27 13:00:00,High Temperature,Moderate,35.56,35
Madurai,2026-09-27 13:00:00,High Temperature,Moderate,36.4,35
Madurai,2026-09-27 14:00:00,High Temperature,Moderate,36.69,35
Madurai,2026-09-27 15:00:00,High Temperature,Moderate,36.6,35
Madurai,2026-09-27 16:00:00,High Temperature,Moderate,36.07,35
Madurai,2026-09-27 17:00:00,High Temperature,Moderate,35.09,35
Chennai,2026-09-28 12:00:00,High Temperature,Moderate,35.33,35
Madurai,2026-09-28 12:00:00,High Temperature,Moderate,35.57,35
Madurai,2026-09-28 13:00:00,High Temperature,Moderate,36.43,35
Madurai,2026-09-28 14:00:00,High Temperature,Moderate,36.43,35
Madurai,2026-09-28 15:00:00,High Temperature,Moderate,35.54,35
