city,variable,lead_days,model,weight
Amritsar,rainfall,1,icon,0.300779
Amritsar,rainfall,2,ecmwf,0.307298
Amritsar,rainfall,2,gem,0.207479
Amritsar,rainfall,2,gfs,0.217078
Amritsar,rainfall,2,icon,0.268145
Amritsar,rainfall,3,ecmwf,0.313835
Amritsar,rainfall,3,gem,0.131529
Amritsar,rainfall,3,gfs,0.22654
Amritsar,rainfall,3,icon,0.328096
Amritsar,temperature,1,ecmwf,0.33857
Amritsar,temperature,1,gem,0.189221
Amritsar,temperature,1,gfs,0.14089
Amritsar,temperature,1,icon,0.331318
Amritsar,temperature,2,ecmwf,0.329077
Amritsar,temperature,2,gem,0.198427
Amritsar,temperature,2,gfs,0.142703
Amritsar,temperature,2,icon,0.329792
Amritsar,temperature,3,ecmwf,0.321133
Amritsar,temperature,3,gem,0.188828
Amritsar,temperature,3,gfs,0.15615
Amritsar,temperature,3,icon,0.333889
Amritsar,wind_speed,1,ecmwf,0.331004
Amritsar,wind_speed,1,gem,0.199006
Amritsar,wind_speed,1,gfs,0.151888
Amritsar,wind_speed,1,icon,0.318101
Amritsar,wind_speed,2,ecmwf,0.330314
Amritsar,wind_speed,2,gem,0.203563
Amritsar,wind_speed,2,gfs,0.151362
Amritsar,wind_speed,2,icon,0.31476
Amritsar,wind_speed,3,ecmwf,0.324752
Amritsar,wind_speed,3,gem,0.207474
Amritsar,wind_speed,3,gfs,0.146572
Amritsar,wind_speed,3,icon,0.321202
Bengaluru,rainfall,1,ecmwf,0.274581
Bengaluru,rainfall,1,gem,0.230997
Bengaluru,rainfall,1,gfs,0.23965
Bengaluru,rainfall,1,icon,0.254772
Bengaluru,rainfall,2,ecmwf,0.279709
Bengaluru,rainfall,2,gem,0.223642
Bengaluru,rainfall,2,gfs,0.24338
Bengaluru,rainfall,2,icon,0.25327
Bengaluru,rainfall,3,ecmwf,0.271297
Bengaluru,rainfall,3,gem,0.220403
Bengaluru,rainfall,3,gfs,0.246534
Bengaluru,rainfall,3,icon,0.261766
Bengaluru,temperature,1,ecmwf,0.313081
Bengaluru,temperature,1,gem,0.213613
Bengaluru,temperature,1,gfs,0.20493
Bengaluru,temperature,1,icon,0.268377
Bengaluru,temperature,2,ecmwf,0.31417
Bengaluru,temperature,2,gem,0.210212
Bengaluru,temperature,2,gfs,0.200258
Bengaluru,temperature,2,icon,0.27536
Bengaluru,temperature,3,ecmwf,0.309024
Bengaluru,temperature,3,gem,0.207506
Bengaluru,temperature,3,gfs,0.199875
Bengaluru,temperature,3,icon,0.283595
Bengaluru,wind_speed,1,ecmwf,0.318534
Bengaluru,wind_speed,1,gem,0.168249
Bengaluru,wind_speed,1,gfs,0.123585
Bengaluru,wind_speed,1,icon,0.389632
Bengaluru,wind_speed,2,ecmwf,0.302088
Bengaluru,wind_speed,2,gem,0.171897
Bengaluru,wind_speed,2,gfs,0.129179
Bengaluru,wind_speed,2,icon,0.396836
Bengaluru,wind_speed,3,ecmwf,0.285987
Bengaluru,wind_speed,3,gem,0.178541
Bengaluru,wind_speed,3,gfs,0.134116
Bengaluru,wind_speed,3,icon,0.401356
Bhopal,rainfall,1,ecmwf,0.327388
Bhopal,rainfall,1,gem,0.220628
Bhopal,rainfall,1,gfs,0.19583
Bhopal,rainfall,1,icon,0.256153
Bhopal,rainfall,2,ecmwf,0.295991
Bhopal,rainfall,2,gem,0.186907
Bhopal,rainfall,2,gfs,0.247043
Bhopal,rainfall,2,icon,0.270059
Bhopal,rainfall,3,ecmwf,0.219894
Bhopal,rainfall,3,gem,0.231608
Bhopal,rainfall,3,gfs,0.336856
Bhopal,rainfall,3,icon,0.211643
Bhopal,temperature,1,ecmwf,0.318165
Bhopal,temperature,1,gem,0.233222
Bhopal,temperature,1,gfs,0.183375
Bhopal,temperature,1,icon,0.265238
Bhopal,temperature,2,ecmwf,0.342061
Bhopal,temperature,2,gem,0.255793
Bhopal,temperature,2,gfs,0.168474
Bhopal,temperature,2,icon,0.233672
Bhopal,temperature,3,ecmwf,0.3458
Bhopal,temperature,3,gem,0.252726
Bhopal,temperature,3,gfs,0.185551
Bhopal,temperature,3,icon,0.215923
Bhopal,wind_speed,1,ecmwf,0.33464
Bhopal,wind_speed,1,gem,0.201008
Bhopal,wind_speed,1,gfs,0.146191
Bhopal,wind_speed,1,icon,0.318161
Bhopal,wind_speed,2,ecmwf,0.342264
Bhopal,wind_speed,2,gem,0.187147
Bhopal,wind_speed,2,gfs,0.147767
Bhopal,wind_speed,2,icon,0.322822
Bhopal,wind_speed,3,ecmwf,0.314719
Bhopal,wind_speed,3,gem,0.202208
Bhopal,wind_speed,3,gfs,0.166532
Bhopal,wind_speed,3,icon,0.316541
Bhubaneswar,rainfall,1,ecmwf,0.280332
Bhubaneswar,rainfall,1,gem,0.197865
Bhubaneswar,rainfall,1,gfs,0.238188
Bhubaneswar,rainfall,1,icon,0.283615
Bhubaneswar,rainfall,2,ecmwf,0.299222
Bhubaneswar,rainfall,2,gem,0.223565
Bhubaneswar,rainfall,2,gfs,0.245391
Bhubaneswar,rainfall,2,icon,0.231822
Bhubaneswar,rainfall,3,ecmwf,0.273273
Bhubaneswar,rainfall,3,gem,0.198905
Bhubaneswar,rainfall,3,gfs,0.260078
Bhubaneswar,rainfall,3,icon,0.267744
Bhubaneswar,temperature,1,ecmwf,0.316331
Bhubaneswar,temperature,1,gem,0.181071
Bhubaneswar,temperature,1,gfs,0.207624
Bhubaneswar,temperature,1,icon,0.294974
Bhubaneswar,temperature,2,ecmwf,0.276271
Bhubaneswar,temperature,2,gem,0.201684
Bhubaneswar,temperature,2,gfs,0.231617
Bhubaneswar,temperature,2,icon,0.290428
Bhubaneswar,temperature,3,ecmwf,0.296932
Bhubaneswar,temperature,3,gem,0.204434
Bhubaneswar,temperature,3,gfs,0.214914
Bhubaneswar,temperature,3,icon,0.28372
Bhubaneswar,wind_speed,1,ecmwf,0.326974
Bhubaneswar,wind_speed,1,gem,0.235198
Bhubaneswar,wind_speed,1,gfs,0.237283
Bhubaneswar,wind_speed,1,icon,0.200545
Bhubaneswar,wind_speed,2,ecmwf,0.317719
Bhubaneswar,wind_speed,2,gem,0.22774
Bhubaneswar,wind_speed,2,gfs,0.235164
Bhubaneswar,wind_speed,2,icon,0.219378
Bhubaneswar,wind_speed,3,ecmwf,0.277142
Bhubaneswar,wind_speed,3,gem,0.251858
Bhubaneswar,wind_speed,3,gfs,0.249858
Bhubaneswar,wind_speed,3,icon,0.221143
Chandigarh,rainfall,1,ecmwf,0.33789
Chandigarh,rainfall,1,gem,0.124062
Chandigarh,rainfall,1,gfs,0.316386
Chandigarh,rainfall,1,icon,0.221662
Chandigarh,rainfall,2,ecmwf,0.267637
Chandigarh,rainfall,2,gem,0.212575
Chandigarh,rainfall,2,gfs,0.271846
Chandigarh,rainfall,2,icon,0.247942
Chandigarh,rainfall,3,ecmwf,0.25583
Chandigarh,rainfall,3,gem,0.200148
Chandigarh,rainfall,3,gfs,0.22393
Chandigarh,rainfall,3,icon,0.320092
Chandigarh,temperature,1,ecmwf,0.347274
Chandigarh,temperature,1,gem,0.198341
Chandigarh,temperature,1,gfs,0.193325
Chandigarh,temperature,1,icon,0.26106
Chandigarh,temperature,2,ecmwf,0.325536
Chandigarh,temperature,2,gem,0.189517
Chandigarh,temperature,2,gfs,0.18336
Chandigarh,temperature,2,icon,0.301587
Chandigarh,temperature,3,ecmwf,0.314071
Chandigarh,temperature,3,gem,0.180766
Chandigarh,temperature,3,gfs,0.209381
Chandigarh,temperature,3,icon,0.295782
Chandigarh,wind_speed,1,ecmwf,0.307307
Chandigarh,wind_speed,1,gem,0.228503
Chandigarh,wind_speed,1,gfs,0.190437
Chandigarh,wind_speed,1,icon,0.273754
Chandigarh,wind_speed,2,ecmwf,0.302213
Chandigarh,wind_speed,2,gem,0.233983
Chandigarh,wind_speed,2,gfs,0.175427
Chandigarh,wind_speed,2,icon,0.288377
Chandigarh,wind_speed,3,ecmwf,0.301844
Chandigarh,wind_speed,3,gem,0.226929
Chandigarh,wind_speed,3,gfs,0.17376
Chandigarh,wind_speed,3,icon,0.297466
Chennai,rainfall,1,ecmwf,0.226116
Chennai,rainfall,1,gem,0.255228
Chennai,rainfall,1,gfs,0.256987
Chennai,rainfall,1,icon,0.261668
Chennai,rainfall,2,ecmwf,0.224502
Chennai,rainfall,2,gem,0.265969
Chennai,rainfall,2,gfs,0.262191
Chennai,rainfall,2,icon,0.247338
Chennai,rainfall,3,ecmwf,0.243428
Chennai,rainfall,3,gem,0.234017
Chennai,rainfall,3,gfs,0.266241
Chennai,rainfall,3,icon,0.256313
Chennai,temperature,1,ecmwf,0.297093
Chennai,temperature,1,gem,0.238327
Chennai,temperature,1,gfs,0.18425
Chennai,temperature,1,icon,0.280329
Chennai,temperature,2,ecmwf,0.300504
Chennai,temperature,2,gem,0.242534
Chennai,temperature,2,gfs,0.188232
Chennai,temperature,2,icon,0.26873
Chennai,temperature,3,ecmwf,0.286059
Chennai,temperature,3,gem,0.254745
Chennai,temperature,3,gfs,0.201037
Chennai,temperature,3,icon,0.25816
Chennai,wind_speed,1,ecmwf,0.341605
Chennai,wind_speed,1,gem,0.208829
Chennai,wind_speed,1,gfs,0.15709
Chennai,wind_speed,1,icon,0.292476
Chennai,wind_speed,2,ecmwf,0.343229
Chennai,wind_speed,2,gem,0.198049
Chennai,wind_speed,2,gfs,0.165435
Chennai,wind_speed,2,icon,0.293287
Chennai,wind_speed,3,ecmwf,0.330188
Chennai,wind_speed,3,gem,0.199312
Chennai,wind_speed,3,gfs,0.174057
Chennai,wind_speed,3,icon,0.296442
Coimbatore,rainfall,1,ecmwf,0.271683
Coimbatore,rainfall,1,gem,0.243354
Coimbatore,rainfall,1,gfs,0.242093
Coimbatore,rainfall,1,icon,0.24287
Coimbatore,rainfall,2,ecmwf,0.243506
Coimbatore,rainfall,2,gem,0.254171
Coimbatore,rainfall,2,gfs,0.25078
Coimbatore,rainfall,2,icon,0.251543
Coimbatore,rainfall,3,ecmwf,0.263702
Coimbatore,rainfall,3,gem,0.24425
Coimbatore,rainfall,3,gfs,0.247386
Coimbatore,rainfall,3,icon,0.244661
Coimbatore,temperature,1,ecmwf,0.281349
Coimbatore,temperature,1,gem,0.257298
Coimbatore,temperature,1,gfs,0.216926
Coimbatore,temperature,1,icon,0.244427
Coimbatore,temperature,2,ecmwf,0.282652
Coimbatore,temperature,2,gem,0.279419
Coimbatore,temperature,2,gfs,0.192678
Coimbatore,temperature,2,icon,0.245251
Coimbatore,temperature,3,ecmwf,0.280731
Coimbatore,temperature,3,gem,0.273241
Coimbatore,temperature,3,gfs,0.189008
Coimbatore,temperature,3,icon,0.257019
Coimbatore,wind_speed,1,ecmwf,0.410752
Coimbatore,wind_speed,1,gem,0.108635
Coimbatore,wind_speed,1,gfs,0.216239
Coimbatore,wind_speed,1,icon,0.264374
Coimbatore,wind_speed,2,ecmwf,0.388656
Coimbatore,wind_speed,2,gem,0.111314
Coimbatore,wind_speed,2,gfs,0.229272
Coimbatore,wind_speed,2,icon,0.270759
Coimbatore,wind_speed,3,ecmwf,0.372399
Coimbatore,wind_speed,3,gem,0.112844
Coimbatore,wind_speed,3,gfs,0.248189
Coimbatore,wind_speed,3,icon,0.266569
Dehradun,rainfall,1,ecmwf,0.310964
Dehradun,rainfall,1,gem,0.195151
Dehradun,rainfall,1,gfs,0.289065
Dehradun,rainfall,1,icon,0.204819
Dehradun,rainfall,2,ecmwf,0.280796
Dehradun,rainfall,2,gem,0.181667
Dehradun,rainfall,2,gfs,0.273601
Dehradun,rainfall,2,icon,0.263936
Dehradun,rainfall,3,ecmwf,0.241
Dehradun,rainfall,3,gem,0.237229
Dehradun,rainfall,3,gfs,0.247319
Dehradun,rainfall,3,icon,0.274452
Dehradun,temperature,1,ecmwf,0.272593
Dehradun,temperature,1,gem,0.268606
Dehradun,temperature,1,gfs,0.199988
Dehradun,temperature,1,icon,0.258813
Dehradun,temperature,2,ecmwf,0.268513
Dehradun,temperature,2,gem,0.249264
Dehradun,temperature,2,gfs,0.188394
Dehradun,temperature,2,icon,0.293829
Dehradun,temperature,3,ecmwf,0.262963
Dehradun,temperature,3,gem,0.242643
Dehradun,temperature,3,gfs,0.209133
Dehradun,temperature,3,icon,0.285261
Dehradun,wind_speed,1,ecmwf,0.275057
Dehradun,wind_speed,1,gem,0.239286
Dehradun,wind_speed,1,gfs,0.205968
Dehradun,wind_speed,1,icon,0.279689
Dehradun,wind_speed,2,ecmwf,0.272705
Dehradun,wind_speed,2,gem,0.240619
Dehradun,wind_speed,2,gfs,0.21188
Dehradun,wind_speed,2,icon,0.274796
Dehradun,wind_speed,3,ecmwf,0.270185
Dehradun,wind_speed,3,gem,0.252074
Dehradun,wind_speed,3,gfs,0.207764
Dehradun,wind_speed,3,icon,0.269977
Delhi,rainfall,1,ecmwf,0.308688
Delhi,rainfall,1,gem,0.168492
Delhi,rainfall,1,gfs,0.293096
Delhi,rainfall,1,icon,0.229725
Delhi,rainfall,2,ecmwf,0.262804
Delhi,rainfall,2,gem,0.24726
Delhi,rainfall,2,gfs,0.255397
Delhi,rainfall,2,icon,0.234539
Delhi,rainfall,3,ecmwf,0.302966
Delhi,rainfall,3,gem,0.238087
Delhi,rainfall,3,gfs,0.184513
Delhi,rainfall,3,icon,0.274434
Delhi,temperature,1,ecmwf,0.334415
Delhi,temperature,1,gem,0.230819
Delhi,temperature,1,gfs,0.09486
Delhi,temperature,1,icon,0.339906
Delhi,temperature,2,ecmwf,0.312634
Delhi,temperature,2,gem,0.251401
Delhi,temperature,2,gfs,0.104427
Delhi,temperature,2,icon,0.331537
Delhi,temperature,3,ecmwf,0.353111
Delhi,temperature,3,gem,0.231393
Delhi,temperature,3,gfs,0.117385
Delhi,temperature,3,icon,0.298112
Delhi,wind_speed,1,ecmwf,0.330157
Delhi,wind_speed,1,gem,0.214167
Delhi,wind_speed,1,gfs,0.13925
Delhi,wind_speed,1,icon,0.316426
Delhi,wind_speed,2,ecmwf,0.326779
Delhi,wind_speed,2,gem,0.22137
Delhi,wind_speed,2,gfs,0.142469
Delhi,wind_speed,2,icon,0.309382
Delhi,wind_speed,3,ecmwf,0.321883
Delhi,wind_speed,3,gem,0.228939
Delhi,wind_speed,3,gfs,0.145501
Delhi,wind_speed,3,icon,0.303677
Ghaziabad,rainfall,1,ecmwf,0.409403
Ghaziabad,rainfall,1,gem,0.173822
Ghaziabad,rainfall,1,gfs,0.144693
Ghaziabad,rainfall,1,icon,0.272082
Ghaziabad,rainfall,2,ecmwf,0.225688
Ghaziabad,rainfall,2,gem,0.29681
Ghaziabad,rainfall,2,gfs,0.232324
Ghaziabad,rainfall,2,icon,0.245177
Ghaziabad,rainfall,3,ecmwf,0.306019
Ghaziabad,rainfall,3,gem,0.216078
Ghaziabad,rainfall,3,gfs,0.187485
Ghaziabad,rainfall,3,icon,0.290418
Ghaziabad,temperature,1,ecmwf,0.339528
Ghaziabad,temperature,1,gem,0.215582
Ghaziabad,temperature,1,gfs,0.106418
Ghaziabad,temperature,1,icon,0.338472
Ghaziabad,temperature,2,ecmwf,0.301037
Ghaziabad,temperature,2,gem,0.246007
Ghaziabad,temperature,2,gfs,0.117002
Ghaziabad,temperature,2,icon,0.335954
Ghaziabad,temperature,3,ecmwf,0.340137
Ghaziabad,temperature,3,gem,0.220143
Ghaziabad,temperature,3,gfs,0.128019
Ghaziabad,temperature,3,icon,0.311701
Ghaziabad,wind_speed,1,ecmwf,0.317793
Ghaziabad,wind_speed,1,gem,0.197365
Ghaziabad,wind_speed,1,gfs,0.194279
Ghaziabad,wind_speed,1,icon,0.290562
Ghaziabad,wind_speed,2,ecmwf,0.297656
Ghaziabad,wind_speed,2,gem,0.20457
Ghaziabad,wind_speed,2,gfs,0.198039
Ghaziabad,wind_speed,2,icon,0.299735
Ghaziabad,wind_speed,3,ecmwf,0.298639
Ghaziabad,wind_speed,3,gem,0.209032
Ghaziabad,wind_speed,3,gfs,0.196448
Ghaziabad,wind_speed,3,icon,0.295882
Goa,rainfall,1,ecmwf,0.267416
Goa,rainfall,1,gem,0.219795
Goa,rainfall,1,gfs,0.260659
Goa,rainfall,1,icon,0.25213
Goa,rainfall,2,ecmwf,0.260125
Goa,rainfall,2,gem,0.215934
Goa,rainfall,2,gfs,0.269117
Goa,rainfall,2,icon,0.254824
Goa,rainfall,3,ecmwf,0.252927
Goa,rainfall,3,gem,0.221521
Goa,rainfall,3,gfs,0.275789
Goa,rainfall,3,icon,0.249763
Goa,temperature,1,ecmwf,0.255645
Goa,temperature,1,gem,0.205111
Goa,temperature,1,gfs,0.289588
Goa,temperature,1,icon,0.249656
Goa,temperature,2,ecmwf,0.263236
Goa,temperature,2,gem,0.21044
Goa,temperature,2,gfs,0.273616
Goa,temperature,2,icon,0.252708
Goa,temperature,3,ecmwf,0.247507
Goa,temperature,3,gem,0.208477
Goa,temperature,3,gfs,0.291173
Goa,temperature,3,icon,0.252843
Goa,wind_speed,1,ecmwf,0.230781
Goa,wind_speed,1,gem,0.26693
Goa,wind_speed,1,gfs,0.22559
Goa,wind_speed,1,icon,0.276698
Goa,wind_speed,2,ecmwf,0.224002
Goa,wind_speed,2,gem,0.274139
Goa,wind_speed,2,gfs,0.213607
Goa,wind_speed,2,icon,0.288252
Goa,wind_speed,3,ecmwf,0.202278
Goa,wind_speed,3,gem,0.285126
Goa,wind_speed,3,gfs,0.22926
Goa,wind_speed,3,icon,0.283336
Guwahati,rainfall,1,ecmwf,0.308162
Guwahati,rainfall,1,gem,0.190487
Guwahati,rainfall,1,gfs,0.287535
Guwahati,rainfall,1,icon,0.213815
Guwahati,rainfall,2,ecmwf,0.272619
Guwahati,rainfall,2,gem,0.236617
Guwahati,rainfall,2,gfs,0.257808
Guwahati,rainfall,2,icon,0.232956
Guwahati,rainfall,3,ecmwf,0.288507
Guwahati,rainfall,3,gem,0.220605
Guwahati,rainfall,3,gfs,0.238906
Guwahati,rainfall,3,icon,0.251982
Guwahati,temperature,1,ecmwf,0.316386
Guwahati,temperature,1,gem,0.212024
Guwahati,temperature,1,gfs,0.230155
Guwahati,temperature,1,icon,0.241436
Guwahati,temperature,2,ecmwf,0.27802
Guwahati,temperature,2,gem,0.233819
Guwahati,temperature,2,gfs,0.220122
Guwahati,temperature,2,icon,0.268039
Guwahati,temperature,3,ecmwf,0.293223
Guwahati,temperature,3,gem,0.218045
Guwahati,temperature,3,gfs,0.224088
Guwahati,temperature,3,icon,0.264644
Guwahati,wind_speed,1,ecmwf,0.253181
Guwahati,wind_speed,1,gem,0.235145
Guwahati,wind_speed,1,gfs,0.249565
Guwahati,wind_speed,1,icon,0.262109
Guwahati,wind_speed,2,ecmwf,0.234619
Guwahati,wind_speed,2,gem,0.239578
Guwahati,wind_speed,2,gfs,0.246018
Guwahati,wind_speed,2,icon,0.279785
Guwahati,wind_speed,3,ecmwf,0.246311
Guwahati,wind_speed,3,gem,0.249351
Guwahati,wind_speed,3,gfs,0.247271
Guwahati,wind_speed,3,icon,0.257067
Hyderabad,rainfall,1,ecmwf,0.271339
Hyderabad,rainfall,1,gem,0.201132
Hyderabad,rainfall,1,gfs,0.261711
Hyderabad,rainfall,1,icon,0.265817
Hyderabad,rainfall,2,ecmwf,0.2848
Hyderabad,rainfall,2,gem,0.165104
Hyderabad,rainfall,2,gfs,0.281953
Hyderabad,rainfall,2,icon,0.268144
Hyderabad,rainfall,3,ecmwf,0.269267
Hyderabad,rainfall,3,gem,0.187265
Hyderabad,rainfall,3,gfs,0.26972
Hyderabad,rainfall,3,icon,0.273747
Hyderabad,temperature,1,ecmwf,0.319006
Hyderabad,temperature,1,gem,0.177642
Hyderabad,temperature,1,gfs,0.213916
Hyderabad,temperature,1,icon,0.289436
Hyderabad,temperature,2,ecmwf,0.309277
Hyderabad,temperature,2,gem,0.175735
Hyderabad,temperature,2,gfs,0.220173
Hyderabad,temperature,2,icon,0.294815
Hyderabad,temperature,3,ecmwf,0.310194
Hyderabad,temperature,3,gem,0.178721
Hyderabad,temperature,3,gfs,0.217095
Hyderabad,temperature,3,icon,0.293991
Hyderabad,wind_speed,1,ecmwf,0.334216
Hyderabad,wind_speed,1,gem,0.153864
Hyderabad,wind_speed,1,gfs,0.127857
Hyderabad,wind_speed,1,icon,0.384063
Hyderabad,wind_speed,2,ecmwf,0.319299
Hyderabad,wind_speed,2,gem,0.162039
Hyderabad,wind_speed,2,gfs,0.136921
Hyderabad,wind_speed,2,icon,0.381741
Hyderabad,wind_speed,3,ecmwf,0.296457
Hyderabad,wind_speed,3,gem,0.174969
Hyderabad,wind_speed,3,gfs,0.145413
Hyderabad,wind_speed,3,icon,0.38316
Imphal,rainfall,1,ecmwf,0.327314
Imphal,rainfall,1,gem,0.24965
Imphal,rainfall,1,gfs,0.260219
Imphal,rainfall,1,icon,0.162817
Imphal,rainfall,2,ecmwf,0.334916
Imphal,rainfall,2,gem,0.238811
Imphal,rainfall,2,gfs,0.216877
Imphal,rainfall,2,icon,0.209396
Imphal,rainfall,3,ecmwf,0.241482
Imphal,rainfall,3,gem,0.224818
Imphal,rainfall,3,gfs,0.217252
Imphal,rainfall,3,icon,0.316449
Imphal,temperature,1,ecmwf,0.376926
Imphal,temperature,1,gem,0.199047
Imphal,temperature,1,gfs,0.147819
Imphal,temperature,1,icon,0.276209
Imphal,temperature,2,ecmwf,0.305855
Imphal,temperature,2,gem,0.223291
Imphal,temperature,2,gfs,0.157508
Imphal,temperature,2,icon,0.313347
Imphal,temperature,3,ecmwf,0.293433
Imphal,temperature,3,gem,0.215869
Imphal,temperature,3,gfs,0.162724
Imphal,temperature,3,icon,0.327974
Imphal,wind_speed,1,ecmwf,0.274804
Imphal,wind_speed,1,gem,0.216946
Imphal,wind_speed,1,gfs,0.25349
Imphal,wind_speed,1,icon,0.25476
Imphal,wind_speed,2,ecmwf,0.272058
Imphal,wind_speed,2,gem,0.228882
Imphal,wind_speed,2,gfs,0.238189
Imphal,wind_speed,2,icon,0.260871
Imphal,wind_speed,3,ecmwf,0.256656
Imphal,wind_speed,3,gem,0.222906
Imphal,wind_speed,3,gfs,0.246291
Imphal,wind_speed,3,icon,0.274146
Indore,rainfall,1,ecmwf,0.297165
Indore,rainfall,1,gem,0.252438
Indore,rainfall,1,gfs,0.260334
Indore,rainfall,1,icon,0.190064
Indore,rainfall,2,ecmwf,0.274281
Indore,rainfall,2,gem,0.238135
Indore,rainfall,2,gfs,0.281457
Indore,rainfall,2,icon,0.206126
Indore,rainfall,3,ecmwf,0.177522
Indore,rainfall,3,gem,0.274208
Indore,rainfall,3,gfs,0.329405
Indore,rainfall,3,icon,0.218865
Indore,temperature,1,ecmwf,0.372903
Indore,temperature,1,gem,0.230491
Indore,temperature,1,gfs,0.160495
Indore,temperature,1,icon,0.236111
Indore,temperature,2,ecmwf,0.341964
Indore,temperature,2,gem,0.238062
Indore,temperature,2,gfs,0.172278
Indore,temperature,2,icon,0.247696
