city,datetime,lead_day,confidence,confidence_label,skill_score,agreement_score,lead_score,dominant_model,explanation
Agartala,2026-09-26 20:00:00,1,86.3,High,87.68,74.81,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agartala,2026-09-26 21:00:00,1,87.1,High,87.68,77.62,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agartala,2026-09-26 22:00:00,1,86.6,High,87.68,76.0,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agartala,2026-09-26 23:00:00,1,87.0,High,87.68,77.06,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agartala,2026-09-27 00:00:00,2,82.6,High,85.55,79.41,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agartala,2026-09-27 01:00:00,2,83.2,High,85.55,81.33,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 02:00:00,2,83.1,High,85.55,80.92,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 03:00:00,2,84.0,High,85.55,83.97,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 04:00:00,2,84.1,High,85.55,84.5,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 05:00:00,2,84.3,High,85.55,85.08,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 06:00:00,2,85.6,High,85.55,89.42,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 07:00:00,2,87.3,High,85.55,95.19,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 08:00:00,2,87.8,High,85.55,96.6,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 09:00:00,2,86.9,High,85.55,93.82,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 10:00:00,2,85.5,High,85.55,89.08,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 11:00:00,2,84.5,High,85.55,85.84,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 12:00:00,2,84.1,High,85.55,84.34,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 13:00:00,2,84.7,High,85.55,86.43,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 14:00:00,2,84.9,High,85.55,87.24,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 15:00:00,2,84.9,High,85.55,87.03,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 16:00:00,2,85.1,High,85.55,87.85,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 17:00:00,2,84.8,High,85.55,86.74,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 18:00:00,2,81.5,High,85.55,75.77,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agartala,2026-09-27 19:00:00,2,79.2,High,85.55,68.25,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agartala,2026-09-27 20:00:00,2,81.9,High,85.55,77.11,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agartala,2026-09-27 21:00:00,2,83.5,High,85.55,82.49,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 22:00:00,2,84.1,High,85.55,84.31,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-27 23:00:00,2,84.3,High,85.55,85.11,80.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 00:00:00,3,79.3,High,84.33,83.91,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 01:00:00,3,77.4,High,84.33,77.53,60.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the extended Day 3 lead time maintains stable predictability."
Agartala,2026-09-28 02:00:00,3,77.7,High,84.33,78.38,60.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the extended Day 3 lead time maintains stable predictability."
Agartala,2026-09-28 03:00:00,3,78.9,High,84.33,82.38,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 04:00:00,3,79.4,High,84.33,84.0,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 05:00:00,3,79.6,High,84.33,84.62,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 06:00:00,3,81.2,High,84.33,90.23,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 07:00:00,3,82.5,High,84.33,94.41,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 08:00:00,3,80.2,High,84.33,86.92,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 09:00:00,3,79.7,High,84.33,85.26,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 10:00:00,3,80.5,High,84.33,87.68,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 11:00:00,3,80.7,High,84.33,88.53,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 12:00:00,3,80.3,High,84.33,87.08,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 13:00:00,3,79.2,High,84.33,83.4,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 14:00:00,3,78.8,High,84.33,81.97,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 15:00:00,3,78.3,High,84.33,80.38,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 16:00:00,3,79.8,High,84.33,85.37,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 17:00:00,3,80.1,High,84.33,86.45,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 18:00:00,3,80.0,High,84.33,86.19,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 19:00:00,3,78.1,High,84.33,79.91,60.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the extended Day 3 lead time maintains stable predictability."
Agartala,2026-09-28 20:00:00,3,76.5,High,84.33,74.33,60.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the extended Day 3 lead time maintains stable predictability."
Agartala,2026-09-28 21:00:00,3,79.5,High,84.33,84.58,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 22:00:00,3,82.0,High,84.33,92.69,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agartala,2026-09-28 23:00:00,3,81.7,High,84.33,91.71,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agra,2026-09-26 00:00:00,1,83.9,High,81.7,76.92,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 01:00:00,1,83.6,High,81.7,75.79,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 02:00:00,1,82.8,High,81.7,73.28,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 03:00:00,1,82.9,High,81.7,73.55,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 04:00:00,1,82.8,High,81.7,73.07,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 05:00:00,1,85.3,High,81.7,81.63,100.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agra,2026-09-26 06:00:00,1,82.8,High,81.7,73.28,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 07:00:00,1,83.0,High,81.7,73.88,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 08:00:00,1,83.0,High,81.7,73.95,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 09:00:00,1,80.4,High,81.7,65.22,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 10:00:00,1,77.3,High,81.7,54.97,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 11:00:00,1,71.9,Medium,81.7,36.97,100.0,ECMWF,Inter-model spread indicates divergence between NWP forecasts despite ECMWF weighting.
Agra,2026-09-26 12:00:00,1,77.5,High,81.7,55.36,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 13:00:00,1,76.9,High,81.7,53.58,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 14:00:00,1,77.2,High,81.7,54.59,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 15:00:00,1,79.9,High,81.7,63.34,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 16:00:00,1,79.3,High,81.7,61.38,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 17:00:00,1,78.6,High,81.7,59.02,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 18:00:00,1,79.8,High,81.7,63.05,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 19:00:00,1,81.5,High,81.7,68.9,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 20:00:00,1,82.9,High,81.7,73.41,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 21:00:00,1,83.8,High,81.7,76.39,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 22:00:00,1,84.4,High,81.7,78.41,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-26 23:00:00,1,83.4,High,81.7,75.17,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Agra,2026-09-27 00:00:00,2,78.9,High,81.8,73.47,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 01:00:00,2,78.8,High,81.8,73.1,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 02:00:00,2,80.7,High,81.8,79.41,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 03:00:00,2,79.9,High,81.8,76.73,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 04:00:00,2,79.6,High,81.8,75.62,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 05:00:00,2,79.4,High,81.8,74.93,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 06:00:00,2,78.2,High,81.8,70.94,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 07:00:00,2,77.0,High,81.8,66.97,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 08:00:00,2,75.7,High,81.8,62.79,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 09:00:00,2,74.4,Medium,81.8,58.43,80.0,ECMWF,Inter-model spread indicates divergence between NWP forecasts despite ECMWF weighting.
Agra,2026-09-27 10:00:00,2,73.8,Medium,81.8,56.19,80.0,ECMWF,Inter-model spread indicates divergence between NWP forecasts despite ECMWF weighting.
Agra,2026-09-27 11:00:00,2,74.7,High,81.8,59.42,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 12:00:00,2,73.4,Medium,81.8,55.02,80.0,ECMWF,Inter-model spread indicates divergence between NWP forecasts despite ECMWF weighting.
Agra,2026-09-27 13:00:00,2,73.3,Medium,81.8,54.65,80.0,ECMWF,Inter-model spread indicates divergence between NWP forecasts despite ECMWF weighting.
Agra,2026-09-27 14:00:00,2,73.8,Medium,81.8,56.47,80.0,ECMWF,Inter-model spread indicates divergence between NWP forecasts despite ECMWF weighting.
Agra,2026-09-27 15:00:00,2,73.0,Medium,81.8,53.67,80.0,ECMWF,Inter-model spread indicates divergence between NWP forecasts despite ECMWF weighting.
Agra,2026-09-27 16:00:00,2,72.5,Medium,81.8,52.15,80.0,ECMWF,Inter-model spread indicates divergence between NWP forecasts despite ECMWF weighting.
Agra,2026-09-27 17:00:00,2,76.7,High,81.8,65.91,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 18:00:00,2,79.3,High,81.8,74.59,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 19:00:00,2,79.0,High,81.8,73.68,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 20:00:00,2,76.8,High,81.8,66.45,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 21:00:00,2,78.0,High,81.8,70.45,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 22:00:00,2,79.3,High,81.8,74.54,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-27 23:00:00,2,80.2,High,81.8,77.66,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Agra,2026-09-28 00:00:00,3,74.2,Medium,75.43,81.7,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 01:00:00,3,74.4,Medium,75.43,82.31,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 02:00:00,3,75.0,High,75.43,84.21,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agra,2026-09-28 03:00:00,3,77.0,High,75.43,90.86,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agra,2026-09-28 04:00:00,3,76.7,High,75.43,90.04,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agra,2026-09-28 05:00:00,3,74.9,High,75.43,83.82,60.0,ECMWF,"ECMWF and ensemble members agree closely, while RMSE remains low for this region."
Agra,2026-09-28 06:00:00,3,74.0,Medium,75.43,80.79,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 07:00:00,3,72.5,Medium,75.43,75.98,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 08:00:00,3,73.2,Medium,75.43,78.32,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 09:00:00,3,73.4,Medium,75.43,78.96,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 10:00:00,3,74.0,Medium,75.43,80.89,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 11:00:00,3,74.0,Medium,75.43,80.85,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 12:00:00,3,73.4,Medium,75.43,78.82,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 13:00:00,3,72.4,Medium,75.43,75.71,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 14:00:00,3,72.3,Medium,75.43,75.13,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 15:00:00,3,71.6,Medium,75.43,72.81,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 16:00:00,3,71.9,Medium,75.43,74.07,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 17:00:00,3,73.3,Medium,75.43,78.78,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 18:00:00,3,71.8,Medium,75.43,73.47,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 19:00:00,3,72.4,Medium,75.43,75.65,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 20:00:00,3,73.4,Medium,75.43,78.89,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 21:00:00,3,72.1,Medium,75.43,74.51,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 22:00:00,3,71.2,Medium,75.43,71.69,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Agra,2026-09-28 23:00:00,3,72.2,Medium,75.43,74.95,60.0,ECMWF,Models show moderate disagreement and the forecast lead time reduces reliability.
Ahmedabad,2026-09-26 00:00:00,1,78.3,High,74.49,70.16,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 01:00:00,1,78.4,High,74.49,70.67,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 02:00:00,1,78.3,High,74.49,70.05,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 03:00:00,1,78.2,High,74.49,70.01,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 04:00:00,1,78.7,High,74.49,71.63,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 05:00:00,1,79.9,High,74.49,75.63,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 06:00:00,1,81.2,High,74.49,79.99,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 07:00:00,1,79.8,High,74.49,75.2,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 08:00:00,1,79.3,High,74.49,73.41,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 09:00:00,1,79.4,High,74.49,73.72,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 10:00:00,1,79.5,High,74.49,74.12,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 11:00:00,1,78.2,High,74.49,70.0,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 12:00:00,1,78.1,High,74.49,69.56,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 13:00:00,1,77.5,High,74.49,67.36,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 14:00:00,1,76.9,High,74.49,65.62,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 15:00:00,1,76.8,High,74.49,65.19,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 16:00:00,1,76.9,High,74.49,65.53,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 17:00:00,1,77.3,High,74.49,66.7,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 18:00:00,1,78.7,High,74.49,71.63,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 19:00:00,1,78.5,High,74.49,70.88,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 20:00:00,1,79.0,High,74.49,72.36,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 21:00:00,1,78.4,High,74.49,70.59,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 22:00:00,1,78.2,High,74.49,69.87,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-26 23:00:00,1,78.4,High,74.49,70.46,100.0,ECMWF,"ECMWF leads with strong short-range skill, with minor model spread in local precipitation."
Ahmedabad,2026-09-27 00:00:00,2,74.3,Medium,74.2,70.72,80.0,ECMWF,Moderate ensemble agreement and regional variability balance overall forecast confidence.
Ahmedabad,2026-09-27 01:00:00,2,73.9,Medium,74.2,69.37,80.0,ECMWF,Inter-model spread indicates divergence between NWP forecasts despite ECMWF weighting.
Ahmedabad,2026-09-27 02:00:00,2,74.2,Medium,74.2,70.32,80.0,ECMWF,Moderate ensemble agreement and regional variability balance overall forecast confidence.
Ahmedabad,2026-09-27 03:00:00,2,74.7,High,74.2,71.84,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Ahmedabad,2026-09-27 04:00:00,2,75.3,High,74.2,73.94,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Ahmedabad,2026-09-27 05:00:00,2,76.2,High,74.2,77.16,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Ahmedabad,2026-09-27 06:00:00,2,76.5,High,74.2,78.05,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Ahmedabad,2026-09-27 07:00:00,2,75.9,High,74.2,75.91,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Ahmedabad,2026-09-27 08:00:00,2,75.3,High,74.2,74.01,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Ahmedabad,2026-09-27 09:00:00,2,75.5,High,74.2,74.67,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Ahmedabad,2026-09-27 10:00:00,2,74.6,High,74.2,71.73,80.0,ECMWF,"Low regional RMSE supports ECMWF dominance, while the 48-hour forecast horizon maintains stable predictability."
Ahmedabad,2026-09-27 11:00:00,2,74.4,Medium,74.2,70.97,80.0,ECMWF,Moderate ensemble agreement and regional variability balance overall forecast confidence.
