city,datetime,split,temperature_ecmwf,temperature_gfs,temperature_icon,temperature_gem,rainfall_ecmwf,rainfall_gfs,rainfall_icon,rainfall_gem,wind_speed_ecmwf,wind_speed_gfs,wind_speed_icon,wind_speed_gem,actual_temperature,actual_rainfall,actual_wind,blend_temperature,blend_rainfall,blend_wind_speed
Agartala,2026-07-18 11:00:00,train,30.5,29.6,29.9,28.0,0.2,0.5,0.1,2.0,19.9,25.1,10.9,14.4,29.3,0.6,18.8,29.748652899999996,0.5138854,18.906966506966505
Agartala,2026-07-18 12:00:00,train,31.0,29.7,30.6,27.2,0.1,0.5,0.2,2.6,19.9,24.9,11.4,15.1,30.4,0.6,20.4,29.9652251,0.5930457,19.055797755797755
Agartala,2026-07-18 13:00:00,train,31.3,30.1,30.7,28.2,0.1,0.4,0.2,0.2,19.5,23.6,11.5,18.0,31.1,0.2,19.1,30.3767682,0.21237340000000002,19.129671129671127
Agartala,2026-07-18 14:00:00,train,31.3,30.3,30.4,27.9,0.1,0.0,0.4,0.3,19.2,25.6,11.7,18.7,31.5,0.0,19.1,30.3101237,0.18246300000000001,19.6027199027199
Agartala,2026-07-18 15:00:00,train,30.9,30.0,30.3,27.1,0.3,0.0,0.2,0.4,18.8,22.8,11.0,14.8,30.8,0.1,17.6,29.9132125,0.217351,17.966956366956364
Agartala,2026-07-18 16:00:00,train,30.2,29.1,29.8,26.9,0.3,0.0,0.4,1.4,18.2,21.6,11.3,15.5,29.9,0.1,19.1,29.297925700000004,0.4171184,17.587739887739886
Agartala,2026-07-18 17:00:00,train,29.5,27.8,29.5,29.3,0.3,0.0,0.3,0.4,17.5,20.9,8.0,16.9,29.3,0.1,18.4,29.1055323,0.2429237,16.946304646304643
Agartala,2026-07-18 18:00:00,train,29.1,27.1,28.6,27.3,0.0,0.0,0.2,0.0,16.8,20.4,7.5,15.5,28.6,0.0,16.1,28.2617751,0.0511454,16.186993686993684
Agartala,2026-07-18 19:00:00,train,28.7,26.7,28.3,26.9,0.0,0.0,0.0,0.0,16.5,20.3,7.5,12.6,28.4,0.0,16.4,27.879928000000003,0.0,15.486647286647285
Agartala,2026-07-18 20:00:00,train,28.4,26.5,28.0,26.7,0.0,0.0,0.0,0.0,16.2,19.4,8.3,13.7,28.1,0.0,16.2,27.6191121,0.0,15.45163035163035
Agartala,2026-07-18 21:00:00,train,28.2,26.3,27.6,26.8,0.0,0.0,0.0,0.0,16.3,18.9,8.3,13.7,28.0,0.0,15.9,27.437138700000006,0.0,15.38381528381528
Agartala,2026-07-18 22:00:00,train,28.2,26.1,27.4,26.5,0.0,0.0,0.0,0.0,16.6,18.0,9.2,13.0,27.6,0.0,15.2,27.3043539,0.0,15.301515501515501
Agartala,2026-07-18 23:00:00,train,28.0,25.9,27.5,26.1,0.0,0.0,0.0,0.0,16.9,16.2,8.1,13.7,27.7,0.0,17.4,27.122591,0.0,15.019549719549719
Agartala,2026-07-19 00:00:00,train,27.5,25.9,27.2,25.8,0.0,0.0,0.0,0.0,17.3,15.5,8.8,12.2,27.1,0.0,17.3,26.8004849,0.0,14.854017254017252
Agartala,2026-07-19 01:00:00,train,27.0,25.9,27.1,25.6,0.0,0.0,0.0,0.0,17.9,14.7,9.4,12.2,26.7,0.0,17.3,26.532795399999998,0.0,15.024007024007021
Agartala,2026-07-19 02:00:00,train,26.6,25.8,26.9,25.6,0.0,0.0,0.0,0.0,17.9,15.3,9.4,11.5,26.4,0.0,17.8,26.3047643,0.0,15.030054930054927
Agartala,2026-07-19 03:00:00,train,26.3,25.7,26.7,25.5,0.0,0.0,0.0,0.0,16.9,16.9,9.2,9.7,26.1,0.0,17.0,26.101285400000002,0.0,14.57446987446987
Agartala,2026-07-19 04:00:00,train,26.2,25.5,26.6,25.2,0.0,0.0,0.0,1.7,15.5,17.3,9.7,10.8,25.9,0.0,16.8,25.9439905,0.2526574,14.292223892223891
Agartala,2026-07-19 05:00:00,train,26.3,25.3,26.8,25.6,0.0,0.0,0.0,2.0,14.8,17.0,7.9,13.7,26.3,0.0,15.8,26.0532559,0.297244,14.21288871288871
Agartala,2026-07-19 06:00:00,train,26.8,26.0,27.1,25.1,0.2,0.0,0.0,0.3,14.9,17.8,9.5,10.1,26.8,0.1,17.2,26.377988700000003,0.1157578,13.974830274830275
Agartala,2026-07-19 07:00:00,train,27.4,27.0,27.6,25.7,0.2,0.0,0.3,0.2,15.7,19.9,10.7,8.6,27.0,0.1,19.9,27.044128999999998,0.1776137,14.693213693213691
Agartala,2026-07-19 08:00:00,train,27.9,27.7,28.2,26.7,0.2,0.0,0.4,0.0,15.6,20.7,9.3,10.1,28.2,0.2,17.7,27.694982500000002,0.173462,14.929525029525028
Agartala,2026-07-19 09:00:00,train,28.0,27.7,29.3,27.9,0.3,0.0,0.3,0.1,14.0,20.3,10.2,13.3,29.1,0.1,18.4,28.154657,0.1983371,14.815919915919913
Agartala,2026-07-19 10:00:00,train,28.0,27.8,29.7,27.7,0.3,0.4,0.1,0.1,11.9,22.1,10.5,13.3,29.4,0.2,20.5,28.212120300000002,0.24310969999999998,14.3005422005422
Agartala,2026-07-19 11:00:00,train,27.8,29.0,29.8,29.1,0.3,1.1,0.4,0.0,11.1,23.1,9.0,13.0,27.7,0.5,12.6,28.651378,0.4728221,13.913345913345912
Agartala,2026-07-19 12:00:00,train,27.5,29.2,29.8,29.6,1.8,1.2,1.3,0.0,11.9,24.6,9.3,14.4,29.0,0.6,14.6,28.656089599999998,1.2607399,14.920274920274919
Agartala,2026-07-19 13:00:00,train,27.1,28.5,29.7,28.5,1.8,0.7,2.3,0.3,14.1,22.5,11.0,13.7,27.6,7.0,15.5,28.1205528,1.4411559999999997,15.538721638721636
Agartala,2026-07-19 14:00:00,train,26.8,28.2,29.9,28.5,1.8,0.0,0.3,0.0,15.7,22.1,11.4,12.2,26.6,3.0,16.7,27.965649699999997,0.7172589,15.95328595328595
Agartala,2026-07-19 15:00:00,train,26.9,27.9,29.3,27.9,2.1,0.0,0.7,0.9,16.9,21.0,11.7,14.8,27.3,2.3,16.0,27.7275106,1.0600663,16.776018376018374
Agartala,2026-07-19 16:00:00,train,27.0,27.4,28.8,27.1,2.1,0.0,0.1,0.7,17.8,19.1,11.4,13.3,25.9,2.8,18.7,27.4291562,0.8769057,16.43906673906674
Agartala,2026-07-19 17:00:00,train,27.0,26.3,27.8,27.4,2.1,0.0,0.3,0.0,18.2,19.0,8.6,15.8,26.6,0.5,18.2,27.0701533,0.8240157,16.707229707229708
Agartala,2026-07-19 18:00:00,train,26.7,25.7,27.4,26.5,0.1,0.0,0.9,0.0,18.1,19.4,9.0,14.8,25.9,0.1,16.5,26.580115699999997,0.2657399,16.617242017242017
Agartala,2026-07-19 19:00:00,train,26.2,25.8,27.1,26.3,0.1,0.0,0.1,0.0,17.6,19.3,7.9,14.4,25.8,0.1,17.6,26.2971937,0.0611583,16.150068750068748
Agartala,2026-07-19 20:00:00,train,25.9,25.6,27.0,26.1,0.1,0.0,0.0,0.1,17.1,20.1,7.2,13.0,25.7,0.0,16.9,26.072683599999998,0.0504478,15.752432952432951
Agartala,2026-07-19 21:00:00,train,25.9,25.4,26.9,25.7,0.1,0.0,0.0,0.3,16.5,19.6,7.0,10.8,25.7,0.0,15.9,25.939940899999996,0.0801722,14.92836432836433
Agartala,2026-07-19 22:00:00,train,26.0,25.4,26.8,25.8,0.1,0.0,0.0,0.1,15.6,18.7,7.2,10.4,25.7,0.1,15.2,25.9825618,0.0504478,14.26215066215066
Agartala,2026-07-19 23:00:00,train,26.1,25.4,26.7,25.8,0.1,0.0,0.0,0.1,15.2,15.5,6.5,9.0,25.8,0.2,14.9,26.0070719,0.0504478,13.001009001009
Agartala,2026-07-20 00:00:00,train,25.9,25.2,26.6,25.8,0.6,0.0,0.0,0.1,14.8,14.2,6.8,10.1,25.4,0.5,15.0,25.861446400000002,0.2283758,12.765257865257864
Agartala,2026-07-20 01:00:00,train,25.5,24.9,26.5,25.5,0.6,0.0,0.0,0.2,14.5,13.9,7.2,10.8,25.2,0.8,13.3,25.5550892,0.243238,12.74100134100134
Agartala,2026-07-20 02:00:00,train,25.3,24.7,26.4,25.2,0.6,0.0,0.1,0.2,14.1,14.1,7.1,10.1,24.9,1.6,14.3,25.3551313,0.2688107,12.459904359904359
Agartala,2026-07-20 03:00:00,train,25.1,24.6,26.3,25.2,1.5,0.0,0.4,0.0,12.7,12.6,7.2,9.7,24.9,1.5,12.8,25.2305791,0.6360748,11.415222715222715
Agartala,2026-07-20 04:00:00,train,25.0,24.5,26.2,25.1,1.5,0.0,0.6,0.0,11.3,12.1,7.1,10.4,24.8,1.7,10.9,25.1305791,0.6872202000000001,10.777149577149576
Agartala,2026-07-20 05:00:00,train,25.0,24.7,26.1,25.6,1.5,0.0,0.2,0.2,10.2,10.7,6.2,11.5,24.7,1.4,11.4,25.245126799999998,0.6146538,10.044215744215743
Agartala,2026-07-20 06:00:00,train,25.4,25.7,26.3,25.2,1.1,0.0,0.1,2.5,9.9,13.5,5.4,8.3,25.0,1.6,8.5,25.5903744,0.7885693,9.844980144980143
Agartala,2026-07-20 07:00:00,train,25.9,26.0,26.6,25.8,1.1,0.1,0.2,0.4,10.2,15.0,5.4,7.2,25.6,0.5,12.0,26.0300328,0.5260153000000001,10.118710118710116
Agartala,2026-07-20 08:00:00,train,26.5,27.5,26.9,27.0,1.1,0.0,0.2,0.0,10.5,17.8,5.6,7.2,26.1,1.7,9.0,26.8738986,0.44258700000000006,10.918405118405117
Agartala,2026-07-20 09:00:00,train,27.1,26.6,27.2,28.0,0.6,0.0,0.3,0.0,10.0,15.5,6.4,7.6,26.9,0.9,10.9,27.175783600000003,0.2902317,10.343045543045541
Agartala,2026-07-20 10:00:00,train,27.6,26.9,27.4,28.6,0.6,0.0,0.5,0.0,9.2,16.3,6.6,7.6,28.2,0.5,10.1,27.597289100000005,0.3413771,10.183654583654583
Agartala,2026-07-20 11:00:00,train,28.0,27.4,28.1,29.0,0.6,0.0,0.2,0.0,8.9,17.4,6.0,7.6,26.6,4.2,10.3,28.072821100000002,0.264659,10.21943201943202
Agartala,2026-07-20 12:00:00,train,27.8,27.9,28.5,29.5,4.8,0.0,0.1,0.0,9.4,18.6,6.4,7.9,26.6,5.9,10.8,28.256027200000002,1.7336814999999999,10.828536928536927
Agartala,2026-07-20 13:00:00,train,27.5,27.8,28.4,29.5,4.8,0.0,0.5,0.0,10.8,17.1,6.5,7.2,26.3,3.6,10.8,28.088811999999997,1.8359723,11.011929611929611
Agartala,2026-07-20 14:00:00,train,27.1,27.3,27.9,28.8,4.8,0.0,0.9,0.6,11.3,16.2,7.9,8.3,26.9,1.1,10.1,27.595253400000004,2.0274362999999997,11.420484720484719
Agartala,2026-07-20 15:00:00,train,27.0,26.7,27.8,26.9,0.3,0.7,0.2,1.0,11.0,15.6,7.3,11.2,26.3,0.5,10.5,27.0638925,0.4743807,11.609831009831009
Agartala,2026-07-20 16:00:00,train,27.0,26.5,27.5,25.6,0.3,0.1,0.4,0.8,9.8,14.3,5.9,9.7,26.3,0.3,8.8,26.731846799999996,0.3519247,10.305652805652805
Agartala,2026-07-20 17:00:00,train,26.9,26.2,27.3,26.2,0.3,0.4,0.5,0.8,9.3,10.7,3.1,3.2,26.9,0.0,8.9,26.6983229,0.44943589999999994,7.689420889420888
Agartala,2026-07-20 18:00:00,train,26.6,25.4,26.9,25.6,0.0,0.0,0.5,0.0,8.9,8.2,3.5,1.8,26.2,0.0,7.7,26.220471099999997,0.1278635,6.728092128092129
Agartala,2026-07-20 19:00:00,train,26.3,25.1,26.6,25.3,0.0,0.0,0.4,0.0,8.8,7.5,4.2,6.8,26.0,0.0,8.4,25.9204711,0.1022908,7.543735143735142
Agartala,2026-07-20 20:00:00,train,26.1,24.9,26.4,25.3,0.0,0.0,0.2,0.0,9.2,7.3,4.2,6.8,26.0,0.0,9.0,25.756692700000002,0.0511454,7.68168728168728
Agartala,2026-07-20 21:00:00,train,26.1,24.9,26.3,25.6,0.1,0.0,0.2,0.1,9.3,7.8,4.6,5.4,25.8,0.0,8.6,25.7928722,0.10159320000000001,7.6316544316544315
Agartala,2026-07-20 22:00:00,train,26.2,24.8,26.2,25.4,0.1,0.0,0.1,0.0,10.2,9.0,4.3,5.0,25.6,0.0,8.5,25.760087400000003,0.0611583,8.204303004303004
Agartala,2026-07-20 23:00:00,train,26.2,24.7,26.2,25.1,0.1,0.1,0.0,0.0,10.5,8.5,3.6,6.8,26.2,0.2,10.2,25.6846817,0.0595651,8.473879473879473
Agartala,2026-07-21 00:00:00,train,26.0,24.5,26.1,24.9,0.2,0.4,0.3,0.0,10.4,7.4,3.6,6.8,25.8,0.6,9.3,25.5028346,0.2438073,8.177950177950176
Agartala,2026-07-21 01:00:00,train,25.7,24.4,26.0,24.7,0.2,0.5,0.9,0.0,10.2,8.4,3.9,6.1,25.5,0.4,8.5,25.299397799999998,0.421223,8.22158992158992
Agartala,2026-07-21 02:00:00,train,25.5,24.3,26.0,24.6,0.2,0.5,1.0,0.0,10.2,8.5,4.3,6.8,25.2,0.4,9.5,25.1748877,0.4467957,8.425834625834625
Agartala,2026-07-21 03:00:00,train,25.3,24.3,25.9,24.6,0.1,0.6,0.8,0.0,9.8,9.1,4.4,7.6,24.9,0.2,9.6,25.0714088,0.3840442,8.54058574058574
Agartala,2026-07-21 04:00:00,train,25.2,24.3,25.8,24.6,0.1,0.6,0.6,0.0,9.3,8.8,4.2,7.2,24.7,0.2,8.7,25.010592900000002,0.3328988,8.143041943041942
Agartala,2026-07-21 05:00:00,train,25.3,24.6,26.1,25.4,0.1,0.0,0.8,0.0,9.2,7.6,3.3,9.0,25.2,0.2,8.8,25.3158209,0.2401672,8.044482844482843
Agartala,2026-07-21 06:00:00,train,26.0,24.8,26.5,26.3,0.1,0.0,0.0,0.0,9.2,6.9,4.0,8.3,26.0,0.1,7.6,25.892217300000002,0.0355856,7.844508744508744
Agartala,2026-07-21 07:00:00,train,27.0,25.7,27.2,27.6,0.1,0.0,0.3,0.0,9.6,6.5,4.7,7.6,26.5,0.0,9.0,26.8710177,0.1123037,7.896156896156896
Agartala,2026-07-21 08:00:00,train,27.8,26.9,27.5,28.8,0.1,0.0,0.4,0.0,9.7,6.2,6.4,9.0,27.9,0.1,9.6,27.7369896,0.1378764,8.351928751928751
Agartala,2026-07-21 09:00:00,train,28.5,27.8,27.8,30.1,0.2,1.5,0.3,0.0,9.7,7.1,5.7,10.4,29.7,0.1,10.2,28.5151894,0.5075818,8.727727127727126
Agartala,2026-07-21 10:00:00,train,29.1,29.0,28.7,31.0,0.2,0.8,0.0,0.0,11.1,7.9,5.7,10.4,30.8,0.1,12.0,29.3504203,0.2630072,9.55156995156995
Agartala,2026-07-21 11:00:00,train,29.5,29.7,30.6,31.7,0.2,0.8,0.1,0.0,12.6,8.7,5.9,10.8,29.8,0.0,11.9,30.140266100000005,0.2885799,10.52133432133432
Agartala,2026-07-21 12:00:00,train,30.0,29.2,30.7,32.1,0.4,0.1,0.1,0.0,12.4,8.6,6.0,10.8,29.2,0.8,8.9,30.3388107,0.19189460000000003,10.41967881967882
Agartala,2026-07-21 13:00:00,train,30.4,29.4,30.6,32.3,0.4,0.0,0.5,0.0,11.6,8.4,6.5,10.8,30.4,0.4,10.0,30.569678000000003,0.2702059,10.07131347131347
Agartala,2026-07-21 14:00:00,train,30.4,30.5,30.3,32.3,0.4,0.1,0.2,0.0,10.8,8.2,5.5,10.8,30.5,0.2,10.4,30.7470256,0.21746730000000003,9.53111893111893
Agartala,2026-07-21 15:00:00,train,29.5,29.7,30.4,32.1,0.2,1.2,0.1,0.0,10.4,13.8,6.5,11.2,30.5,0.1,14.6,30.176403500000003,0.3844979,10.823179423179422
Agartala,2026-07-21 16:00:00,train,28.1,27.9,29.8,30.9,0.2,2.5,0.6,0.0,10.5,16.5,8.8,16.6,29.1,0.3,16.8,28.873555099999997,0.8240949000000001,12.782596382596381
Agartala,2026-07-21 17:00:00,train,27.0,26.8,29.0,27.3,0.2,2.0,0.3,0.8,10.7,15.5,6.5,16.9,26.7,0.1,11.0,27.3752438,0.7463769000000001,12.408695108695106
Agartala,2026-07-21 18:00:00,train,26.5,26.0,28.3,26.2,0.3,0.5,0.2,0.0,12.4,14.0,4.8,8.3,26.4,0.3,11.9,26.667053300000003,0.2777997,11.028294728294728
Agartala,2026-07-21 19:00:00,train,26.2,25.7,27.8,25.5,0.3,0.0,0.0,0.2,14.6,15.5,4.5,9.7,26.1,0.2,14.4,26.258304300000002,0.1364812,12.6004627004627
Agartala,2026-07-21 20:00:00,train,26.1,25.6,27.5,25.3,0.3,0.0,0.0,0.5,16.0,16.9,5.6,10.4,25.8,0.1,15.5,26.103887699999998,0.1810678,13.83174063174063
Agartala,2026-07-21 21:00:00,train,25.9,25.4,27.2,25.4,0.1,0.0,0.0,0.0,15.3,15.5,5.5,7.9,25.6,0.1,13.9,25.9400672,0.0355856,12.714132414132413
Agartala,2026-07-21 22:00:00,train,25.8,25.3,26.9,25.4,0.1,0.0,0.0,0.1,13.5,15.3,4.8,10.8,25.5,0.1,13.5,25.8218722,0.0504478,12.293800493800493
Agartala,2026-07-21 23:00:00,train,25.6,25.2,26.8,25.5,0.1,0.0,0.0,0.2,12.5,14.3,3.6,11.2,25.2,0.0,12.4,25.7154308,0.06531,11.528935728935727
Agartala,2026-07-22 00:00:00,train,25.4,25.1,26.6,25.3,0.5,0.0,0.0,0.6,12.2,14.6,4.4,10.1,25.1,0.8,12.7,25.536504100000002,0.2671012,11.357036057036057
Agartala,2026-07-22 01:00:00,train,25.2,25.1,26.4,24.9,0.5,0.0,0.3,4.4,12.4,14.0,5.7,9.0,25.1,0.6,12.9,25.3424291,0.9085829000000001,11.273748473748475
Agartala,2026-07-22 02:00:00,train,25.1,25.0,26.3,24.9,0.5,0.0,0.4,0.8,12.8,12.0,5.5,9.7,24.9,0.3,12.3,25.2605399,0.3991164,11.107267207267206
Agartala,2026-07-22 03:00:00,train,25.2,24.8,26.1,25.1,0.2,0.0,0.0,0.4,12.3,13.0,4.1,10.1,24.9,0.4,11.9,25.260972099999996,0.13062,11.0007809007809
Agartala,2026-07-22 04:00:00,train,25.3,24.6,26.0,25.0,0.2,0.0,0.0,1.2,12.0,12.5,4.2,9.0,25.0,0.1,10.4,25.225224800000003,0.2495176,10.557488757488757
Agartala,2026-07-22 05:00:00,train,25.8,24.7,26.1,25.9,0.2,1.2,0.0,0.2,12.4,12.3,4.7,11.9,25.6,0.1,11.8,25.6407632,0.3886496,11.299431199431199
Agartala,2026-07-22 06:00:00,train,26.8,25.4,26.7,26.4,0.0,1.9,0.0,0.0,13.7,14.0,5.2,10.4,26.7,0.0,9.4,26.414377700000003,0.4556105,12.066633466633466
Agartala,2026-07-22 07:00:00,train,28.1,27.1,27.8,27.7,0.0,0.6,0.0,0.0,15.4,16.9,7.7,11.5,28.0,0.0,13.3,27.762365099999997,0.143877,14.030016730016728
Agartala,2026-07-22 08:00:00,train,28.9,27.0,28.8,28.9,0.0,0.5,0.4,0.0,16.6,15.5,8.0,13.7,28.9,0.1,15.2,28.4814544,0.2221883,14.710057810057808
Agartala,2026-07-22 09:00:00,train,29.0,28.0,29.5,29.2,1.6,0.0,0.1,0.0,16.5,19.6,9.9,14.0,29.5,0.1,17.2,28.916253100000002,0.5949423,15.895148295148296
Agartala,2026-07-22 10:00:00,train,28.6,28.1,30.9,28.9,1.6,0.0,0.0,0.0,15.9,21.3,10.5,15.5,30.3,0.1,16.0,28.966482600000003,0.5693696,16.36256286256286
Agartala,2026-07-22 11:00:00,train,28.4,29.3,31.2,29.0,1.6,0.0,0.0,0.0,16.0,23.7,8.0,14.4,28.7,7.7,14.9,29.2066057,0.5693696,16.429473629473627
Agartala,2026-07-22 12:00:00,train,28.4,29.1,31.4,30.3,0.7,0.0,0.1,0.0,17.1,24.8,8.9,13.0,28.9,0.3,17.2,29.436205299999997,0.27467189999999997,17.038338438338435
Agartala,2026-07-22 13:00:00,train,28.5,27.0,29.9,30.2,0.7,0.0,3.0,0.0,18.6,21.7,10.5,14.8,29.6,0.1,16.0,28.7459247,1.0162802,17.56122896122896
Agartala,2026-07-22 14:00:00,train,28.5,26.0,29.5,30.3,0.7,0.0,1.1,0.0,19.1,15.6,8.7,15.1,27.9,0.8,19.8,28.4806909,0.5303989,16.229400729400727
Agartala,2026-07-22 15:00:00,train,28.2,28.3,29.6,30.2,1.0,0.1,0.2,0.0,17.5,19.1,10.1,13.7,27.1,1.8,15.1,28.8374299,0.4309809,16.20973890973891
Agartala,2026-07-22 16:00:00,train,27.9,26.9,29.1,29.5,1.0,1.6,0.1,0.0,14.7,20.5,10.4,15.1,27.1,0.3,15.8,28.1968746,0.7651007,15.543152243152242
Agartala,2026-07-22 17:00:00,train,27.5,26.2,29.0,28.3,1.0,0.0,0.7,0.0,13.2,15.8,9.0,13.0,27.0,0.3,13.3,27.643227000000003,0.5348649,13.216718216718215
Agartala,2026-07-22 18:00:00,train,26.9,25.1,27.9,27.1,0.2,0.0,1.6,0.0,12.7,12.5,8.0,10.8,26.2,0.2,14.0,26.7384312,0.4803344,11.699643099643097
Agartala,2026-07-22 19:00:00,train,26.2,25.2,27.4,26.2,0.2,0.0,0.0,0.3,13.1,14.9,7.4,12.2,26.0,0.0,15.6,26.2071018,0.1157578,12.612660612660612
Agartala,2026-07-22 20:00:00,train,25.8,25.4,27.1,25.0,0.2,0.0,0.1,7.3,13.4,16.9,7.8,7.6,25.6,0.1,13.8,25.806808099999998,1.1816845,12.399433999433999
Agartala,2026-07-22 21:00:00,train,25.8,25.1,26.8,24.8,0.1,0.0,0.0,12.6,13.5,15.0,7.2,7.6,25.4,0.1,13.0,25.652907899999995,1.9082228,11.936610936610936
Agartala,2026-07-22 22:00:00,train,25.9,25.0,26.4,24.7,0.1,0.0,0.1,6.2,13.9,13.5,8.7,6.1,25.3,0.0,13.6,25.583775199999998,0.9826147000000001,11.691515191515188
Agartala,2026-07-22 23:00:00,train,26.0,24.6,26.3,24.2,0.1,0.1,0.1,4.9,13.7,13.2,5.6,5.8,25.9,0.0,14.9,25.4334381,0.8133856000000002,11.079289079289078
Agartala,2026-07-23 00:00:00,train,25.6,24.7,26.1,24.0,0.6,0.0,0.3,6.0,12.7,13.7,5.8,4.3,25.2,0.2,13.0,25.211332000000006,1.1819636999999998,10.480651180651178
Agartala,2026-07-23 01:00:00,train,25.1,24.6,26.1,24.3,0.6,0.1,0.5,1.7,11.3,14.2,6.3,4.0,25.0,0.1,13.8,25.0312761,0.6180140000000001,9.96042676042676
Agartala,2026-07-23 02:00:00,train,24.8,24.6,25.9,24.5,0.6,0.1,0.7,1.6,10.5,14.1,6.8,4.0,24.8,0.3,12.1,24.903202899999997,0.6542972,9.634795434795434
Agartala,2026-07-23 03:00:00,train,24.8,24.3,25.8,24.7,0.2,0.5,0.7,2.5,10.8,15.6,6.8,2.2,24.6,0.1,12.3,24.8580517,0.7416326,9.778169178169177
Agartala,2026-07-23 04:00:00,train,24.9,24.3,25.6,24.7,0.2,0.1,0.3,2.1,11.5,15.5,6.3,2.2,24.2,0.3,10.9,24.8644089,0.483975,10.012477412477411
Agartala,2026-07-23 05:00:00,train,25.2,24.4,25.8,25.7,0.2,0.0,0.4,0.4,11.9,15.8,5.5,9.4,25.2,0.2,11.9,25.230885,0.2329108,11.5025977025977
Agartala,2026-07-23 06:00:00,train,25.8,24.5,25.9,26.4,0.6,0.1,1.9,0.0,11.3,14.5,6.9,9.7,25.5,0.5,11.6,25.652864799999996,0.7233744,11.166832666832665
Agartala,2026-07-23 07:00:00,train,26.6,24.7,26.2,26.9,0.6,0.1,1.5,0.0,10.7,13.6,7.9,10.4,26.7,0.2,10.8,26.1813281,0.6210836,10.945338545338544
Agartala,2026-07-23 08:00:00,train,27.2,24.9,26.9,27.4,0.6,0.0,0.4,0.0,10.4,14.5,8.6,10.8,27.0,0.8,10.8,26.697077,0.3158044,11.176389176389176
Agartala,2026-07-23 09:00:00,train,27.3,25.3,27.8,28.2,3.5,0.0,0.1,0.1,11.6,15.6,10.8,12.2,28.5,0.5,16.2,27.1322957,1.2859308999999999,12.518785918785918
Agartala,2026-07-23 10:00:00,train,27.2,25.2,28.1,27.3,3.5,0.3,0.5,1.0,14.0,16.3,10.7,10.4,26.3,5.9,17.7,26.9600209,1.5939199999999998,13.430454830454828
Agartala,2026-07-23 11:00:00,train,27.1,26.3,29.4,26.5,3.5,0.2,0.1,2.4,15.5,17.9,7.4,7.2,26.6,2.0,14.8,27.2402655,1.6757205,13.464086464086463
Agartala,2026-07-23 12:00:00,train,27.3,28.4,30.2,28.1,1.3,1.0,0.1,0.0,15.2,22.2,8.5,6.8,28.0,0.8,13.2,28.203126800000003,0.7279805,14.370269770269768
Agartala,2026-07-23 13:00:00,train,27.6,28.7,30.6,29.4,1.3,0.7,0.1,0.3,13.8,22.5,8.7,9.7,27.5,5.7,15.4,28.702387700000003,0.7006286,14.36212566212566
Agartala,2026-07-23 14:00:00,train,27.7,28.7,29.2,27.3,1.3,0.6,1.9,4.8,12.7,21.3,11.6,14.4,27.8,0.5,14.8,28.1105833,1.8057566999999999,14.831030631030629
